Movie Title,Description,Genre,Cast,Studios
The Brutalist,When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States their lives are changed forever by a mysterious wealthy client.,Drama,Adrien Brody Felicity Jones Guy Pearce Joe Alwyn Raffey Cassidy Stacy Martin Isaach de Bankolé Alessandro Nivola Ariane Labed Michael Epp Emma Laird Jonathan Hyde Peter Polycarpou Maria Sand Salvatore Sansone Zephan Amissah Charlie Esoko Levente Orbán Benett Vilmányi Peter Deutsch Abigél Szőke Daniel Washington András Borgula Zsolt Páll Anna Mészöly Mariann Hermányi Nicholas Wittman Robert Jackson Peter Linka Jeremy Wheeler Stephen Saracco Jaymes Butler David Puskas Laurent Winkler Hermina Fátyol Dóra Sztarenki Natalie Shinnick,Brookstreet Pictures Kaplan Morrison Intake Films Andrew Lauren Productions Lipsync Productions Richmond Pictures Meyohas Studio Carte Blanche Pierce Capital Entertainment
A Complete Unknown,New York early 1960s. Against the backdrop of a vibrant music scene and tumultuous cultural upheaval an enigmatic 19-year-old from Minnesota arrives in the West Village with his guitar and revolutionary talent destined to change the course of American music.,Drama Music,Timothée Chalamet Edward Norton Elle Fanning Monica Barbaro Scoot McNairy Dan Fogler Boyd Holbrook Will Harrison Joe Tippett Eriko Hatsune Peter Gray Lewis Peter Gerety Lenny Grossman David Wenzel Riley Hashimoto Eloise Peyrot Maya Feldman Reza Salazar James Austin Johnson David Alan Basche Joshua Henry Norbert Leo Butz Alaina Surgener Martin Fisher Craig Geraghty Michael Everett Johnson Jater Webb Andy Talen Andrew Kober Eric Berryman Molly Jobe Sophie Hart Taylor Valentine Lupini P.J. Byrne Nick Pupo Brendan Burke Laura Kariuki Zoe Zien Kevyn Morrow Andy Grotelueschen Jonathan Spivey Cilda Shaur Clark Carmichael Taylor Goodwyn Arthur Langlie Michael Chernus Jordan Goodsell Eli Brown Big Bill Morganfield Liam Craig Charlie Tahan Ian Kagey Dave Maulbeck Lorin Doctor Aidan Close Irina Chelidze Jenna Veal Joshua Flinchbaugh Cameron G. Quevedo Alexis Felix Will Price Sunny Vinsavich Kayli Carter Steve Bell Malcolm Gold Patrick Phalen Douglas Marriner Justin Levine Mark Whitfield Jr. Joshua Crumbley Felix Lemerle Malick Koly Andre Chez Lewis Jimmy Caltrider Kyle A. Sanna Patrick M. Dennis Nick Baxter Alan Murray Mark Gross Andy Stein Jean Rohe Farley Rene Junior Cius Travis Patton Victor Sho Vincent Mp Filliatre Amos J. Machanic Sunny Jain James Archie Worley Stephen Carter Carlsen Bridget McGarry Michael Lepre Jon Gennari,Veritas Entertainment Group Range Media Partners The Picture Company Turnpike Films White Water Searchlight Pictures
Sing Sing,Divine G imprisoned at Sing Sing for a crime he didnt commit finds purpose by acting in a theatre group alongside other incarcerated men in this story of resilience humanity and the transformative power of art.,Drama,Colman Domingo Clarence Maclin Sean San Jose Paul Raci David Dap Giraudy Patrick Preme Griffin Mosi Eagle James Big E Williams Sean Dino Johnson Brent Buell Michael Capra Joanna Chan Cecily Lyn Johnny Simmons Katherine Vockins Reynaldo Gayle Sharon Washington Dario Peña Miguel Valentin Jon Adrian JJ Velazquez Pedro Cotto Camillo Carmine LoVacco Cornell Nate Alston John Divine G Whitfield,Black Bear Pictures Edith Productions Marfa Peach Company
Conclave,After the unexpected death of the Pope Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Churchs most powerful leaders until the process is complete Lawrence finds himself at the center of a conspiracy that could lead to its downfall.,Drama Thriller Mystery,Ralph Fiennes Stanley Tucci John Lithgow Isabella Rossellini Lucian Msamati Carlos Diehz Sergio Castellitto Brían F. OByrne Merab Ninidze Thomas Loibl Jacek Koman Bruno Novelli Rony Kramer Valerio Da Silva Joseph Mydell Vincenzo Failla Garrick Hagon Madhav Sharma Loris Loddi Roberto Citran Antonio Toma Balkissa Souley Maiga Romuald Kłos Willie Jonah,FilmNation Entertainment Indian Paintbrush House Productions
The Apprentice,A young Donald Trump eager to make his name as a hungry scion of a wealthy family in 1970s New York comes under the spell of Roy Cohn the cutthroat attorney who would help create the Donald Trump we know today. Cohn sees in Trump the perfect protégé—someone with raw ambition a hunger for success and a willingness to do whatever it takes to win.,History Drama,Sebastian Stan Jeremy Strong Maria Bakalova Martin Donovan Catherine McNally Charlie Carrick Patch Darragh Stuart Hughes Eoin Duffy Chloe Madison Ben Sullivan Mark Rendall Joe Pingue Jim Monaco Bruce Beaton Ian D. Clark Valerie OConnor James Madge Ron Lea Edie Inksetter Michael Hough Robert J. Tavenor Raechel Fisher Stefanie Martino Randy Thomas Myron Ron Reider Sharon Wilcox Jai Jai Jones James Downing Charlie Seminerio Joshua Michael St. John Tom Barnett Jason Blicker Frank Moore Jaclyn Vogl Benny Shilling Chris Owens Nabil Traboulsi Sam Rosenthal Brie Watson Luke Robinson Clare Coulter Craig Burnatowski Lorne Monroe Peter Deiwick Iona Rose Mackay Samantha Espie Emily Mitchell Craig Warnock Kerry Ann Doherty Erik Snider Chris Gleason Taylor Bernier Mishka Thébaud Domingos Andrade Dina Roudman Rick Hughes Russell Yuen Michael Gordin Shore Matt Baram Aidan Gouveia Gavin Pounds Tammy Boundy Katie Garyfalakis Don Saxon Salvatore Marcellino Marvin Karon Moni Ogunsuyi Duane Keogh Brad Austin Kate Wheeler Fiona Mongillo Daniel Goldenberg Mary Krohnert Taylor Brunatti Addyson Douglas Emma Elle Paterson James Lucas Cruikshank Henos Girma Elliot Hunter Self Ross Cameron Bruce Fraser Eamon Bernard Fraser Niamh Carolan Michelle Doiron Drew Catherine Dion Yorkie Sebb Argo Miles Carney David Yee,Gidden Media Head Gear Films Metrol Technology Scythia Films Profile Pictures Tailored Films Film Institute Film i Väst Fís Éireann/Screen Ireland RocketScience LB Entertainment AC Films Rich Spirit Wild 7 Films
A Real Pain,Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the pairs old tensions resurface against the backdrop of their family history.,Comedy Drama,Jesse Eisenberg Kieran Culkin Will Sharpe Jennifer Grey Kurt Egyiawan Liza Sadovy Daniel Oreskes Ellora Torchia Banner Eisenberg Olha Bosova Jakub Gąsowski Piotr Czarniecki Krzysztof Jaszczak Marek Kasprzyk Jakub Pruski,Fruit Tree Topic Studios Extreme Emotions Rego Park Mazowiecki i Warszawski Fundusz Filmowy
Anora,Anora a young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia her fairytale is threatened as the parents set out for New York to get the marriage annulled.,Drama Romance Comedy,Mikey Madison Mark Eydelshteyn Yura Borisov Karren Karagulian Vache Tovmasyan Luna Sofía Miranda Lindsey Normington Darya Ekamasova Aleksey Serebryakov Anton Bitter Ivy Wolk Vlad Mamai Maria Tichinskaya Paul Weissman Emily Weider Vincent Radwinsky Brittney Rodriguez Sophia Carnabuci Ella Rubin Ross Brodar Zoë Vnak Morgan Charlton Nazar Khamis Charles Jang Lana Svidonovich Masha Zhak Sebastian Conelli Irina Finley Mariana Orozco Arango Artyom Trubnikov Michael Sergio Charlton Lamar Mickey OHagan,Cre Film FilmNation Entertainment
Wicked,In the land of Oz ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University and the twos unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.,Romance Drama Fantasy,Cynthia Erivo Ariana Grande Jeff Goldblum Michelle Yeoh Jonathan Bailey Ethan Slater Marissa Bode Peter Dinklage Andy Nyman Courtney-Mae Briggs Bowen Yang Bronwyn James Aaron Teoh Shaun Prendergast Keala Settle Sharon D. Clarke Jenna Boyd Colin Michael Carmichael Lexi Lancaster Arlo Turner Joey Unitt Bea Ward Dereke Oladele Sienna-Rose Amer Tarik Frimpong James Dryden Malinda Parris Noah Prempeh Vicki Noon Debbie Kurup Jasmine McIvor Hattie Ryan Kirsty Anne Shaw Karis Musongole Cesily Collette Taylor Jarlan Bogolubov Isaac Bishop Adam James Alice Fearn Clive Kneller Michael McCorry Rose Idina Menzel Kristin Chenoweth Robin Berry Bobby Windebank Cherida Strallen Tom Kitely Elizabeth Dulau Kim Durham Jennifer Woodward Stephen Stanton Aaliyah Baker Aaron Bryan Aaron Witter Abbie Brown Adam Crossley Ainsley Ricketts Aleshia Williams Alex Hatt Alexander Thompson Ama Rouge Amber Doyle Anders Deeno Andi Vega Andrew Kyrzyk Andrew Parfitt Angela Andrew Angelica Gayle Anna-Kay Gayle Anthony James Bartlett Antoinette Harrison Arben GiGa Kapidani Aristide Lyons Armando Cruz Ashleigh Honeyghan Ashley Young Aysia Trinity Ianiero Becky Wong Benjamin Williams Beth Hinton Beth John Bianca Melchior Billy Sawyer Bismark Anobah Blue Makwana Bogdan Pascal Bradley Salter Bradley Charles Brittani Ferneyhough Brooke Milliner Busola Peters Callum Clack Camone Bleu Gordon Carl Parris Cece Nama Chanelle Anthony Charlie Goddard Charlie Waddell Charlotte Dickinson Charlotte Wildrianne Charlotte Wilmott Che Barrett-Davis Chima Akenzua Chloe Kibble Chris Arias Christie Lee Manning Christopher Donnelly Christopher Matthews Christopher Scott Clarissa Hagan Cleve September Colleen Joseph Collette Guitart Comfort Fedoke Connor Tidman Corrinne Bougaard Craig Stein Cruze Philip Crystal Jones Daisy Reynolds Dalvin Sollberger Daniel Rae Daniela Monteiro Daniella Beltrami Darron Gifty David Cottle Dean Street Demitri Lampra Denzil Sampson Dollie Henry Ed Munro Eddie Saleem Ediz Ibrahim Edward Scott Elise Bickley Eliza Hart Ella Goodwin Ella Nonini Emer Walsh Emi Ichikawa Emilio Dosal Emily Haygarth Emily Kenwright Emily Plews Emma Leigh-Rose Erica Stubbs Fabiane Leame Fatou Bah Faye Stoeser Federica Somma Fortune Jordan Frankie Johnson Fred Folkes Frederike Gerstner Fumy Opeyemi Garry Lee Genevieve Heron Glenn Hudson Grace Hooper Grace Hope Gustave Die Hannah Arbury Hannah Bodenham Hannah Kenna-Thomas Hannah Levitt-Collins Hannah Millott Hannah Raynor Hannah Veerapen Harry Barnes Hayley Jones Helen Siveter Hollie Dorman Honey Makwana Ian Harris Ian Oswald Idney DeAlmeida Irene Salvi Issac Baptiste Jack Horner Jack Whitehead Jacqui Jameson Jade Joan Jaih Betote Jakub Franasowicz Jal Joshua James Collins James Davies-Williams James Lambert Jane Fowler Janine Somcio Jasmin Saulo Jasmine Eccles Jason Gilkison Thanh Jason Nguyen Jaye Marshall Jennifer Mitchell Jevan Howard-Jones Joanna Goodwin Joel Gooding Johnny Bishop Johnny White Johnny White Jon-Scott Clark Jordan Franklin Jordan Melchor Jorge Antonio Josh Lamb Joshua Gadget Kabuki Johnson Kaela Owusu Kailum Richardson Kamila Zalewska Kamira Samuel Kanah Flex Kane Horn Kane Silver Karen Hauer Kate Ivory Jordan Kaylor Lomas-Kirton Kenji Matsunaga Kenn Oldfield Kenrick Sandy Keron Proverbs Kiera Brunton Kieran Daley Ward Kieran Lai Kikz Katika Kimberley Taylor Kofi Mingo LaShay Harvey Laura Buckley Laura Dougan Lauren Fidget Haywood Leah Hill Lee Bridgman Lillianna Clifton Lily Louisa Field Lily Wang Lisa Spencer Lukas McFarlane Luke Jackson Luke Randall Lukus Alexander Lynn Jung Madison Davis Martha Gimson Mary Weah Matthew Eudu Matthew Koon Matthew Miller Matthew Rich Maya King Megan Charles Megan Westpfel Melody McAvoy Mette Linturi Michael John Burgess Michael Naylor Michele Zanette Mike Fellows Mikey Ureta Mina Neighbour Mira Jebari Miranda Chambers Misa Koide Moe Sakan Myron Birch Nadia Sohawon Naia Bautista Naomi Patterson Naomi Weijand Natasha May-Thomas Natasha Trigg Neal Piron Neave Harvey Navaeh Morgan Alidjah Nevin Cheung Nicey Belgrave Nicholas Stephen Nicole Hastings Nicole Valverde Nimmz Riaz Oliver Metzler Oliver Wheeler Olivia Beckford Olu Alatise Onyemachi Ejimofor Page Barrington Bob Paola Nyembo Patience J Paul N. Samuels Peter Francis Petra Hajduk Philip Birchall Prabhleen Oberoi Rachel Gough Ralitsa Chepisheva Ramzan Miah Reagen Masterson Rebecca Giacopazzi Reece Daniels Remi Black Renae Hughes Renako McDonald Ricardo Walker Ricky Jinks Robbie Griffith Robia Milliner Robyn Anne Wilson Roxanne Milliner Rufus Lacey Ryan Lee Seager Saffron Fisher Sam Parry Sam Salter Samantha Shuma Samuel Baxter Samuel Constanti Samuel Lawson Samuel Newby Sarah Seville Sasha Shadid Sasha Woodward Sebastian Skov Andersen Sera Maehara Serena McCall Shakirudeen Adewale Alade Shanelle Clemenson Shani Ross Shanie Blais Shawarah Battles Shawn Aimey Sophia McAvoy Stephanie Powell Stephen Dieyepiri Atemie Stephen Quildan Steven Pascua Steven Thompson Summer Strallen Tamsier Joof Aviance Tania Dimbelolo Taylor Goodridge Tegan Browne-Winter Victory Ebinum Marvel Ebinum Theo Maddix Theo Simpson Tia Denton Tia Holden Tia J. Gribben Tina Smallwood Todd Holdsworth Todd Talbot Tom Mather Tom Norman Tonyé Scott-Obené Tori Bew Tyson Simon Valeria Jauregui Vanessa Vince-Pang Vasilis Karayiannis Vicky Leung Will Loftis Will West Yasmin Cogan de Abreu Yasmin Ogbu Yves Cueni Yvonne Evans Zhanè Samuels Zion Battles Aisha Jawando Caoimhe Fisher Ellis Sutherland Gabriel Mokake Geoffrey Aymer Jack Butterworth Jarneia Richard-Noel Jennifer Saayeng Jonathan Bourne Leah St Luce Marilyn Cutts Meesha Garbett Melissa Jacques Minal Patel Paul Isles Shem Omari James Skylar Blu Copeland Soophia Foroughi Tafari Cazembe Edwards Vishal Soni Winnie Holzman Terence Hughes Jason Lines Marvin Montoute Stephen Schwartz Ricardo Ludgero Souza Alfredo Tavares Poppy Townsend White,Universal Pictures Marc Platt Productions
Emilia Pérez,Rita an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice is hired by the leader of a criminal organization.,Thriller Drama,Karla Sofía Gascón Zoe Saldaña Selena Gomez Adriana Paz Edgar Ramírez Mark Ivanir Eduardo Aladro Emiliano Hasan Gaël Murguia-Fur Tirso Pietriga Xiomara Ahumada Quito Magali Brito Jarib dit Javier Zagoya Montiel Sébastien Fruit Alejandra Reyes Anabel Lopez Daniel Velasco-Acosta James Gerard Braulio Gómez Bernal Stéphane Ly-Cuong Tulika Srivastava Johanna Rebolledo Marin Alejandra Díaz Ambrosi Karla Lazo Gabriela Ceceña Lucile Chriqui Sarah Gfeller Luis Gabriel Gonzalez Loïc Percheron Lazo Rosario Zamora Nathalia Saucedo Monica Ortiz Marysol Cordourier Alonso Venegas-Flores Ana Laura Fortuit Jonas Paz-Benavides Tiphanie Ham Benjamin Díaz Espinoza Holly-Rose Clegg Kalvin Winson Lou Justine Moua Nédellec Michaël Charny Mohammed Ali Ismail Katie Valentine Zelda Rittner Eric Geynes Silvia Herraiz Ángel Romero Eduardo Lubo Manuel Sol Mateo Théo Guarin Lucas Varoclier Agathe Bokja Chun-Ting Lin Line Phé Paul Kai Te The Rizzler,Why Not Productions Pathé France 2 Cinéma Page 114 Saint Laurent Productions Saint Laurent Library Pictures International Logical Content Ventures Les Films du Fleuve The Veterans Vixens Casa Kafka Pictures Pimienta Films
The Substance,A fading celebrity decides to use a black market drug a cell-replicating substance that temporarily creates a younger better version of herself.,Horror Science Fiction,Demi Moore Margaret Qualley Dennis Quaid Edward Hamilton-Clark Gore Abrams Oscar Lesage Christian Erickson Robin Greer Tom Morton Hugo Diego Garcia Daniel Knight Jonathon Carley Jiselle Henderkott Akil Wingate Vincent Colombe Billy Bentley Lennard Ridsdale Jordan Ford Silver Oscar Salem Viviane Bossina Matthew Luret Jana Bittnerová Olivier Raynal Tiffany Hofstetter Nicolas Royer Nathan Rippy Manon Arizmendi Virginie Kotlinski Brett Gillen Charlotte Marquardt Léa Hengl Gaëlle Raymond Claire Lemaire Lila Boughoufala Aurélien Lorgnier Ivan Sellier Philip Schurer Christian Bourmier Martin Graham Christian Bordeleau Patrick Hamel Didier Dhondt Jacques-Yves Dorges Jean-Claude Matthey Olivier Jarcin Jean-Luc Magneron Charlotte Murray Aaron Kahn Gabriela Arnon Nancy Josephson Lahoussine Andrew Eldridge Denise Powers Bryan Jones Adam Carage Maria McClurg Andrew Desmond Rebecca Lafont Laura Puech Ryan Chidester Cécile Vogt Yannick Guérin Jean Miel Paul Descoings Benoit Lévêque Arthur Molinet Manon Sachot Bastien Jorelle Kelly Hoarau Michel Juskiewicz Louise Greggory Christophe Sartirano Florent Torres Romain Caldeira Barthelemy Thomas Axel Baille Ashley Lambert Ranjani Brow Chase Fein Shane Sweet William Calvert Michael Corbett Stephen Apostolina Yann Bean Audjyan Alcide Jonathan Jenvrin Mimi Maury Amelye Solange Kévin Table Laura Boera Cissy Duc Sophie Mercier Marie Valton Katrina Budzynski Alicia Maury Megane Adamik Annalisa Pagnotta Maelle Dantigny Aleksandra Kedzierska Fontaine Pauline Sagetat Agustina Fitzsimons Elena Shcheglova Eve Marchant Lola Donati Kate Matthews Ophélie Jonard Pauline Richard Laureen Cappelliez Daria Panchenko Delphine Beaulieu Victoria Brun Cara Chapman Katharine Matthews Alexandra Faget Clémence Juville Margot LEntete Hillary Sukhonos Matthew Géczy Namory Bakayoko Gregory Defleur Coralie Fargeat,Working Title Films Blacksmith Working Title Films
I'm Still Here,In 1971 military dictatorship in Brazil reaches its height. The Paiva family — Rubens Eunice and their five children — live in a beachside house in Rio open to all their friends. One day Rubens is taken for questioning and does not return.,Drama History,Fernanda Torres Selton Mello Valentina Herszage Bárbara Luz Guilherme Silveira Cora Ramalho Luiza Kosovski Pri Helena Luiz Bertazzo Maeve Jinkings Humberto Carrão Dan Stulbach Carla Ribas Maitê Padilha Camila Márdila Thelmo Fernandes Fernanda Montenegro Augusto Trainotti Olívia Torres Antonio Saboia Maria Manoella Marjorie Estiano Gabriela Carneiro da Cunha Helena Albergaria Daniel Dantas Charles Fricks Lourinelson Vladmir Caio Horowicz Bernardo Bibancos Aguida Aguiar Daniel Ericsson Renan Lima Luana Nastas Isadora Ruppert Antonio Furtado Fagundes Emanuel Matheus Canto Pedro Passarelli Mônica Braga Giulia Passarelli Angela Chieregati Passarelli Lucas Santos Felipe Nehab Félix Salles Manoel Taborda Theo Hoffmeister João Gabriel Frapolli Lucas Zampa Alexandre Mello Thadeu Matos Hugo Camizão Otavio Linhares Leo Mac-Dowell Rafaela Mell João Júnior Denis Sauer Marcelo Várzea Aguida Aguiar Daniel de Almeida Alan Rocha Philipp Lavra Ângela Ribeiro Camilla Flores Luisa Taborda Mayra Coelho Ingrid Oliveira Kauã Rodríguez Laura Araujo Daniel Pereira Tainá Andrade Cid Moreira Carolina Borelli,VideoFilmes MACT Productions RT Features ARTE France Cinéma Conspiração Filmes Globoplay
Flow,A solitary cat displaced by a great flood finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.,Fantasy Animation Adventure,,Dream Well Studio Sacrebleu Productions Take Five ARTE France Cinéma RTBF
Inside Out 2,Teenager Rileys mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy Sadness Anger Fear and Disgust whove long been running a successful operation by all accounts arent sure how to feel when Anxiety shows up. And it looks like shes not alone.,Comedy Family Adventure Animation,Amy Poehler Maya Hawke Kensington Tallman Liza Lapira Tony Hale Lewis Black Phyllis Smith Ayo Edebiri Lilimar Grace Lu Sumayyah Nuriddin-Green Adèle Exarchopoulos Diane Lane Kyle MacLachlan Paul Walter Hauser Yvette Nicole Brown Ron Funches James Austin Johnson Yong Yea Steve Purcell Dave Goelz Kirk R. Thatcher Frank Oz Paula Pell June Squibb Pete Docter Paula Poundstone John Ratzenberger Sarayu Blue Flea Bobby Moynihan Kendall Coyne Schofield,Walt Disney Pictures Pixar
Memoir of a Snail,Forcibly separated from her twin brother when they are orphaned a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.,Comedy Drama Animation,Sarah Snook Kodi Smit-McPhee Jacki Weaver Magda Szubanski Dominique Pinon Tony Armstrong Paul Capsis Eric Bana Bernie Clifford Davey Thompson Charlotte Belsey Mason Litsos Nick Cave Agnes Davison Daniel Agdag Saxon Wright Selena Brennan Adam Elliot Smita Singh Braiden Asciak Dan Doherty Alexander Esenarro Santafe Hedley Elliot Clancy Elliot Grace Elliot Luke Elliot Jub Clerc Craig Ross Vicki Ross David Williams Klaus Banadinovich Charlotte Culshaw Ruby Davis Beryl Downing Wilhelmina Elliot Owen Grieve Alyssia Jade Caleb Lee Veronica Lynch Jaylen Nagloo Devanjana Rajesh Ruth Relf Roger Savage Flynn Wandin Andy Wright Lee Yee,Arenamedia Screen Australia
Wallace & Gromit: Vengeance Most Fowl,Gromits concern that Wallace is becoming too dependent on his inventions proves justified when Wallace invents a smart gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things it falls to Gromit to battle sinister forces and save his master… or Wallace may never be able to invent again!,Adventure Comedy Animation Family,Ben Whitehead Peter Kay Lauren Patel Reece Shearsmith Diane Morgan Adjoa Andoh Muzz Khan Lenny Henry Victoria Elliott Jon Glover Bethan Mary-James Richard Beek David Holt Adrian Rhodes John Sparkes Maya Sondhi Tom Doggart Merlin Crossingham Lizzie Waterworth Roman Kemp Garth Jennings,Aardman
The Wild Robot,After a shipwreck an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment Roz bonds with the islands animals and cares for an orphaned baby goose.,Animation Family Science Fiction,Lupita Nyongo Pedro Pascal Kit Connor Bill Nighy Stephanie Hsu Matt Berry Ving Rhames Mark Hamill Catherine OHara Boone Storm Alexandra Novelle Raphael Alejandro Paul-Mikél Williams Eddie Park Dee Bradley Baker Randy Thom Avrielle Corti Keston John Max Mittelman Piotr Michael Alessandro Beghi Tiago Martinez Becca Last Madelyn Turpin Kayleigh Rayne Isabelle Tupin Beckett Blomberg Damon Fung King Moore Collin Erker,DreamWorks Animation
In the Shadow of the Cypress,A former captain suffering from post-traumatic stress disorder lives with his daughter in a humble house located by the sea. Together they live an isolated life and have to confront the challenges of a harsh life. Despite the captains deep desire to be a devoted and caring father he finds himself unable to fulfill his role and connect with his daughter in the way that he longs to. One morning their lives change forever when an unforeseen event occurs. Whether this event proves to be a newfound source of hope or an additional burden remains to be seen.,Animation Drama,Zahra Moosavi,Barfak Animation Studio
Beautiful Men,Three balding brothers travel to Istanbul to get a hair transplant. Stuck with each other in a hotel far from home their insecurities grow faster than their hair.,Animation Drama,Peter van den Begin Peter De Graef Tom Dewispelaere Nayat Sari,Animal Tank Miyu Productions Ka-Ching Cartoons
Magic Candies,The other kids never ask Dong-Dong to play but hes fine just playing marbles on his own. Until one day he buys a bag of colorful candies and begins to discover new voices and perspectives.,Animation Fantasy,Haruto Shima Hiroshi Iwasaki Kazuhiro Yamaji Ikkei Watanabe Sakiko Uran,DandeLion Animation Studio Toei Animation
Wander to Wonder,In the 1980s Mary Billybud and Fumbleton starred in the childrens television program Wander to Wonder. They are left alone in the studio after the shows originator passed away.,Animation,Neil Salvage Toby Jones Amanda Lawrence Terence Dunn,Circe Films Kaap Holland Film Beast Animation Blink Industries Pictanovo Les Productions de Milou
Yuck!,Yuck. Couples kissing on the mouth are gross. And the worst is you cant miss them: when people are about to kiss their lips become all pink and shiny. Little Léo laughs at them just like all the kids at the summer camp. But he has a secret he wont tell his friends: his own mouth has actually begun glistening. And in reality Léo desperately wants to give kissing a try.,Animation Comedy Romance,Noé Chabbat Katell Varvat Enzo Desmedt Camille Bouisson Hugo Chauvel Roman Freud Mattias Marcussy Mokhtar Camara Olivia Chatain Théo Costa-Marini,Ikki Films Iliade et Films
Dune: Part Two,Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe Paul endeavors to prevent a terrible future only he can foresee.,Adventure Science Fiction,Timothée Chalamet Zendaya Rebecca Ferguson Javier Bardem Josh Brolin Austin Butler Florence Pugh Dave Bautista Christopher Walken Léa Seydoux Stellan Skarsgård Charlotte Rampling Souheila Yacoub Roger Yuan Babs Olusanmokun Alison Halstead Giusi Merli Kait Tenison Tara Breathnach Akiko Hitomi Imola Gáspár Alison Adnet Hamza Baissa Hassan Najib Jasper Ryan-Cater Omar Elbooz Abdelkarim Hussein Seli Mohamed Hassanin Joseph Beddelem Xavier Alba Royo Rachid Abbad Affif Ben Badra Botond Bóta Abdelaziz Boumane Abdellah Echahbi Zouhair Elakkari Noureddine Hajoujou Mohamed Mouraoui Adil Achraf Sayd Hamza Sayd Hopi Grace Havin Fathi Kincsö Pethö Cat Simmons Burt Caesar Remi Fadare Amer El-Erwadi Tedroy Newell Oxa Hazel Hajiyeva Pakiza Leon Herbert Sima Rostami Yvonne Campbell Joseph Charles Vic Zander Dylan Baldwin Marcia Tucker Nicola Brome Kathy Owen Huw Novelli Moe Bar-El Serhat Metin Amra Mallassi Adam Bloom Luis Alkmim Jordan Long Omar A.K. Zdeněk Dvořáček Billy Clements Anton Valensi Lex Daniel Dominic McHale Paul Boyle Niall White Tony Cook Gábor Szemán Jonathan Gunning Will Irvine Alan Mehdizadeh Rex Adams Molly Mcowan Ana Cilas Kajsa Mohammar Sára Bácsfalvi Zsófia Kocsis Matthew Sim Steve Wall Italo Amerighi Tim Hilborne Cecile Sinclair Tracy Coogan Zoe Kata Kaska Jimmy Walker Rand Faris Fouad Humaidan Manaf Irani Dora Kápolnai-Schvab Joelle Anya Taylor-Joy Peter Sztojanov Jr.,Legendary Pictures
Maria,Maria Callas the worlds greatest opera singer lives the last days of her life in 1970s Paris as she confronts her identity and life.,Music Drama,Angelina Jolie Pierfrancesco Favino Alba Rohrwacher Haluk Bilginer Kodi Smit-McPhee Stephen Ashfield Valeria Golino Caspar Phillipson Lydia Koniordou Vincent Macaigne Aggelina Papadopoulou Erofili Panagiotarea Jörg Westphal Philipp Droste Alessandro Bressanello Paul Spera Kay Madsen Lyes Salem Christophe Favre Hugo Dillon Lidia Zelikmann Kauders Toma Hrisztov Botond Bartus Rebecka Johnston Lili Walters Jeremy Wheeler János Geréb Andrew Hefler Bálint Magyar Patrick McCullough Francis McBurney Christiana Aloneftis Miklós Béres Lorena Santana-Somogyi Tímea Kása Kembe Sorel András Sütö Suzie Kennedy Viktor Mitev Maria Callas Aristotle Onassis,The Apartment Pictures Komplizen Film Fabula
Nosferatu,A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her causing untold horror in its wake.,Fantasy Horror,Lily-Rose Depp Nicholas Hoult Bill Skarsgård Aaron Taylor-Johnson Willem Dafoe Emma Corrin Ralph Ineson Simon McBurney Adéla Hesová Milena Konstantinova Stacy Thunes Gregory Gudgeon Robert Russell Curtis Matthew Claudiu Trandafir Gherghina Bereghianu Jordan Haj Kateřina Bílá Maria Ion Tereza Dušková Liana Navrot Mihai Verbintschi Karel Dobrý Andrei Sergeev Matěj Beneš Marek Pospíchal Jan Filipenský Alex East Christian Dunckley Clark Andrea Miltner Robin Finesilver Paul Maynard Charles Horne Ella Bernstein Meredith Digings,Focus Features Studio 8 Maiden Voyage Pictures Birch Hill Road Entertainment
